year,playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,teams,pointsPlayed,oPointsPlayed,dPointsPlayed,minutesPlayed,possessions,oEfficiency,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage
2012,jkorber,John Korber,12,7.25,1.58,5.67,7.17,2.92,87.5,0.0,0.5,0.0,0.25,0.67,0.0,0.0,CON,,,,,,,,,,,
2012,jhelton,Jonathan Helton,16,6.13,4.0,2.13,5.5,20.44,91.6,0.0,3.25,0.0,0.25,2.88,0.0,0.0,IND,,,,,,,,,,,
2012,smurray,Sean Murray,16,4.38,1.69,2.69,4.88,5.81,86.92,0.0,0.88,0.0,0.06,1.44,0.0,0.0,PHS,,,,,,,,,,,
2012,cbrock,Cameron Brock,16,5.31,1.38,3.94,4.56,7.13,92.68,0.0,0.94,0.0,0.31,0.5,0.0,0.0,IND,,,,,,,,,,,
2012,rdulabon,Rob Dulabon,15,5.2,1.6,3.6,4.47,13.8,94.52,0.0,1.8,0.0,0.53,1.6,0.0,0.0,ROC,,,,,,,,,,,
2012,jrainwate,Jake Rainwater,16,4.75,1.69,3.06,4.13,9.13,88.48,0.0,1.19,0.0,0.63,1.19,0.0,0.0,PHS,,,,,,,,,,,
2012,mworsfold,Mark Worsfold,14,4.57,1.0,3.57,3.86,9.21,93.48,0.0,1.36,0.0,0.21,0.86,0.0,0.0,DET,,,,,,,,,,,
2012,wmurphy,Will Murphy,5,1.2,0.2,1.0,3.4,4.2,91.3,0.0,0.6,0.0,0.2,3.0,0.0,0.0,CON,,,,,,,,,,,
2012,eboucher,Evan Boucher,15,4.67,2.67,2.0,3.33,12.13,93.81,0.0,1.6,0.0,0.13,0.4,0.0,0.0,CIN,,,,,,,,,,,
2012,bkragt,Brian Kragt,13,4.31,2.08,2.23,3.31,10.62,92.62,0.0,1.69,0.0,0.23,0.92,0.0,0.0,DET,,,,,,,,,,,
2012,nbotti,Nate Botti,16,4.94,2.81,2.13,3.31,16.19,90.24,0.0,1.75,0.0,0.38,0.5,0.0,0.0,CLB,,,,,,,,,,,
2012,plindsey,Patrick Lindsey,11,2.0,0.36,1.64,3.18,2.55,90.32,0.0,0.27,0.0,0.09,1.55,0.0,0.0,PHS,,,,,,,,,,,
2012,bayres,Ben Ayres,15,4.73,1.87,2.87,3.13,16.33,94.96,0.0,2.0,0.0,0.67,1.07,0.0,0.0,DET,,,,,,,,,,,
2012,jouellett,Joe Ouellette,9,1.89,0.44,1.44,3.11,5.22,95.92,0.0,0.56,0.0,0.11,1.89,0.0,0.0,CON,,,,,,,,,,,
